"CASENO","SEVERITY","ACCDATE","ACCTIME","NOVEH","NOINJ","NOKILLED","INNEAR","COMMNAME","UGRID","USTREET1","USTREET2","UBLOCK","ROADAUTH","CTRLSECT","ATKM","RM","SIDEOF","QTR","SEC","TWP","RGE","MER","OTHERLOC","lookup_str","lat","lon"
1334811,"INJURY","2003-10-05",1245,2,1,0,"IN","REGINA","RE697250","DEWDNEY AVE","ELPHINSTONE ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","DEWDNEY AVE and ELPHINSTONE ST, REGINA, Saskatchewan",NA,NA
1346831,"INJURY","2003-10-12",1848,2,1,0,"IN","REGINA","RE708860","ARCOLA AVE / SASKATCHEWAN DR","WINNIPEG ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ARCOLA AVE / SASKATCHEWAN DR and WINNIPEG ST, REGINA, Saskatchewan",NA,NA
1334813,"INJURY","2003-10-14",1720,2,2,0,"IN","REGINA","RE293725","PARLIAMENT AVE","2800-2850",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","2825 PARLIAMENT AVE, REGINA, Saskatchewan",NA,NA
1348907,"INJURY","2003-12-12",800,2,1,0,"IN","REGINA","RE684570","6TH AVE N","ALBERT ST N",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","6TH AVE N and ALBERT ST N, REGINA, Saskatchewan",50.478863,-104.6182861
1348987,"INJURY","2003-12-29",1806,2,1,0,"IN","REGINA","RE56500","CANNON ST","151-185",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","168 CANNON ST, REGINA, Saskatchewan",NA,NA
1482477,"INJURY","2004-02-24",1345,2,1,0,"IN","REGINA","RE692940","BROAD ST","COLLEGE AVE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BROAD ST and COLLEGE AVE, REGINA, Saskatchewan",50.4406927,-104.6065156
1481059,"INJURY","2004-03-17",1600,2,1,0,"IN","REGINA","RE692810","BROAD ST","SASKATCHEWAN DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BROAD ST and SASKATCHEWAN DR, REGINA, Saskatchewan",NA,NA
1345948,"INJURY","2004-03-18",1636,2,1,0,"IN","REGINA","RE91100","DEWDNEY AVE","4300-4350",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","4325 DEWDNEY AVE, REGINA, Saskatchewan",50.4548379,-104.6429844
1447884,"FATAL","2004-03-25",704,2,0,1,"IN","REGINA","RE161700","4TH AVE","2100-2599",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","2349 4TH AVE, REGINA, Saskatchewan",50.4754944,-104.6152729
1480379,"INJURY","2004-04-07",710,2,1,0,"IN","REGINA","RE675570","11TH AVE","ALBERT ST / SINTON LANE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","11TH AVE and ALBERT ST / SINTON LANE, REGINA, Saskatchewan",50.4502931,-104.6181996
1344486,"INJURY","2004-04-07",1719,2,1,0,"IN","REGINA","RE3","BACK ALLEY","",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BACK ALLEY and , REGINA, Saskatchewan",50.4222999,-104.5248806
1480940,"INJURY","2004-04-12",1636,2,1,0,"IN","REGINA","RE15600","ARGYLE RD","3700-3749",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","3724 ARGYLE RD, REGINA, Saskatchewan",50.4195001,-104.6234058
1342937,"INJURY","2004-04-15",1545,2,1,0,"IN","REGINA","RE692980","BROAD ST","LAKESHORE DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BROAD ST and LAKESHORE DR, REGINA, Saskatchewan",NA,NA
1348988,"INJURY","2004-04-22",1912,2,1,0,"IN","REGINA","RE684590","6TH AVE N","ARGYLE ST N",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","6TH AVE N and ARGYLE ST N, REGINA, Saskatchewan",NA,NA
1344610,"INJURY","2004-04-27",1820,2,1,0,"IN","REGINA","RE709460","VICTORIA AVE","WINNIPEG ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","VICTORIA AVE and WINNIPEG ST, REGINA, Saskatchewan",50.4471344,-104.5951533
1447861,"INJURY","2004-05-04",1521,2,1,0,"IN","REGINA","RE707260","LEWVAN DR","PASQUA ST / SHERWOOD DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","LEWVAN DR and PASQUA ST / SHERWOOD DR, REGINA, Saskatchewan",50.4754989,-104.6409733
1346244,"INJURY","2004-05-17",2039,2,1,0,"IN","REGINA","RE705100","MCCARTHY BLVD","MIKKELSON DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","MCCARTHY BLVD and MIKKELSON DR, REGINA, Saskatchewan",50.4665589,-104.671425
